id,y,x
603715287,30.3093027,78.0364471
603715288,30.3093363,78.037674
603715294,30.3113001,78.0451298
603715300,30.3156501,78.0337038
603715304,30.3125187,78.0342312
603715307,30.3127177,78.036175
603715311,30.3120585,78.0456386
603715314,30.3136375,78.0461165
603715320,30.3176005,78.0419466
603715322,30.3178142,78.0412595
603715330,30.3201925,78.0419681
603715333,30.3174107,78.0459891
603715349,30.3155423,78.0499331
1022982143,30.0856065,78.273042
1022982157,30.0985392,78.2860127
1022982166,30.1072467,78.296216
1022982235,30.1068951,78.2928916
1022982290,30.1055665,78.3034389
1022982304,30.106935,78.2894008
1022982317,30.0918818,78.2763796
1022982361,30.1143606,78.2894719
1022982388,30.1097561,78.2965378
1022982392,30.1107065,78.2920947
1022982444,30.0828613,78.2709099
1022982453,30.1121518,78.2963605
1022982530,30.1047411,78.3005756
1022982549,30.1039705,78.292883
1022982592,30.0793377,78.2731589
1022982603,30.1050061,78.2937783
1022982606,30.1021209,78.288709
1022982612,30.0996856,78.2853908
1022982654,30.1135998,78.2908553
1022982664,30.1084707,78.2996433
1022982691,30.1144808,78.2917431
1022982868,30.1074173,78.2934166
1022982886,30.0991795,78.2864432
1022982891,30.0808486,78.2718822
1022982899,30.1136618,78.2866495
1022982929,30.1090107,78.2989122
1022982934,30.1127597,78.2881652
1022982982,30.0821761,78.2734571
1022983003,30.1071656,78.289243
1022983014,30.1077875,78.3011621
1022983089,30.1113259,78.2857057
1022983094,30.0793852,78.2734801
1022983185,30.1059814,78.2979602
1022983198,30.0924758,78.2755819
1022983228,30.1123255,78.2904832
1022983258,30.1080728,78.2957982
1022983263,30.1060709,78.292155
1022983299,30.0789692,78.2738703
1022983321,30.1052495,78.2964403
1022983410,30.1090093,78.293792
1022983460,30.1134445,78.2940952
1022983545,30.109809,78.2925852
1022983564,30.1057526,78.2995534
1022983633,30.1108598,78.2870966
1022983696,30.1055403,78.2976232
1022983709,30.0924922,78.2769105
1022983718,30.1073513,78.2888498
1022983725,30.0806991,78.2781598
1022983772,30.1132502,78.2874084
1022983779,30.0832465,78.2713919
1022983788,30.1080607,78.2983041
1022983805,30.1097556,78.2934721
1022983818,30.112069,78.2903631
1022983860,30.1115715,78.2880411
1022983882,30.1099061,78.2963565
1022983897,30.107524,78.2920034
1022983972,30.0814228,78.2887441
1022984001,30.1070855,78.2952482
1022984064,30.1069708,78.2954661
1022984083,30.0834825,78.2751377
1022984103,30.1087295,78.2967185
1022984118,30.1149368,78.2844964
1022984170,30.1062684,78.2948816
1022984199,30.07954,78.279042
1022984254,30.1111822,78.291363
1022984261,30.0817418,78.2729297
1022984344,30.1093407,78.2940879
1022984352,30.074484,78.2699447
1022984456,30.0920283,78.2763328
1022984470,30.1071925,78.2992434
1022984476,30.0937863,78.2749319
1022984482,30.11275,78.2907722
1022984553,30.1095039,78.2977106
1022984561,30.0978318,78.2873744
1022984609,30.0750586,78.2698383
1022984615,30.0807577,78.2826533
1022984641,30.10581,78.2919196
1022984731,30.1132689,78.2841815
1022984814,30.1074971,78.2965548
1022984823,30.0925363,78.2762774
1022984836,30.1039496,78.3014825
1022984896,30.1108603,78.2946742
1022984903,30.1067926,78.2957352
1022984926,30.1116057,78.2859564
1022984940,30.1080506,78.2951516
1022984992,30.1106648,78.2890361
1022985019,30.0784806,78.2743397
1022985100,30.1084721,78.2979398
1022985109,30.0978557,78.2855881
1022985123,30.1118615,78.293828
1022985189,30.1097188,78.295676
1022985191,30.1083709,78.2932305
1022985237,30.1065675,78.3001507
1022985252,30.0749666,78.277644
1022985298,30.0984667,78.2878071
1022985305,30.0928466,78.2775349
1022985372,30.1136766,78.2845056
1022985376,30.0785126,78.2799921
1022985440,30.1047909,78.2960518
1022985446,30.0923062,78.2762848
1022985456,30.0757939,78.271219
1022985476,30.1032201,78.3040242
1022985521,30.1101204,78.292953
1022985571,30.1101155,78.2970214
1022985598,30.1119061,78.2970275
1022985643,30.1045247,78.2964916
1022985651,30.0805359,78.2721517
1022985715,30.1134025,78.2912166
1022985758,30.111517,78.2941177
1022985782,30.0796875,78.2727908
1022985819,30.0765194,78.2703389
1022985891,30.0791272,78.2795316
1022985968,30.0792319,78.2742006
1022986027,30.1149196,78.2873704
1022986031,30.1059577,78.3035786
1022986063,30.1107564,78.2947608
1022986089,30.1111572,78.2951186
1022986093,30.0818708,78.2737341
1022986122,30.0821488,78.2841577
1022986127,30.1101803,78.2928556
1022986142,30.0814308,78.2732064
1022986187,30.1111505,78.2874874
1022986194,30.1126923,78.2933013
1022986266,30.1020277,78.2871736
1022986279,30.0760925,78.2708406
1022986293,30.1146475,78.2882803
1022986299,30.1077357,78.298658
1022986312,30.1080628,78.2973615
1022986344,30.1119073,78.2862158
1022986376,30.0720871,78.2607221
1022986383,30.1074776,78.2920655
1022986431,30.10894,78.2946591
1022986519,30.1094132,78.293178
1022986618,30.0930246,78.2773859
1022986634,30.1147921,78.2917749
1022986683,30.0796309,78.2742674
1022986709,30.1110595,78.2912025
1022986713,30.105125,78.300131
1022986722,30.1071594,78.2891321
1022986772,30.1021667,78.2928882
1022986783,30.0757332,78.271316
1022986832,30.1075293,78.2925361
1022986839,30.1087807,78.2926099
1022986863,30.0926796,78.2744698
1022986887,30.1118518,78.2902435
1022986892,30.1114259,78.2916238
1022986903,30.109156,78.2972638
1022986914,30.1082642,78.2909957
1022986919,30.0990028,78.284875
1022987049,30.0751302,78.2774833
1022987076,30.1058018,78.2944637
1022987109,30.0923007,78.2780827
1022987134,30.107302,78.2932791
1022987138,30.1052991,78.2915046
1022987141,30.0995898,78.2867305
1022987146,30.1072253,78.2898671
1022987198,30.1123439,78.2866153
